index,user_id,user_gender,user_age,item_code,category,sub1_category,sub2_category,item_brand,buy_price,buy_count
0,2391853,M,40,114,건강식품,영양제,기타영양제,가고시마,43000,1
1,1799897,F,40,114,건강식품,영양제,기타영양제,가고시마,43000,1
2,1614947,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1
3,1614947,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1
4,1614947,F,50,804126,냉동식품,냉동간편식,냉동밥,천일냉동,1990,5
5,1614947,F,50,831715,냉동식품,냉동간편식,기타냉동간편식,글로벌푸드,5300,1
6,6523993,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1
7,6523993,F,50,815689,냉동식품,냉동간편식,냉동밥,천일냉동,2350,5
8,6523993,F,50,815695,냉동식품,냉동간편식,냉동밥,천일냉동,2200,5
9,389215,F,50,189,건강식품,건강진액,채소즙,신가네여주농장,50000,1
10,389215,F,50,827775,건강식품,건강진액,과일즙,올즙,47900,1
11,389215,F,50,827775,건강식품,건강진액,과일즙,올즙,42900,1
12,6323711,F,40,267,건강식품,건강진액,혼합즙,씨제이제일제당,43700,2
13,6323711,F,40,267,건강식품,건강진액,혼합즙,씨제이제일제당,43700,2
14,6323711,F,40,378935,건강식품,건강보조식품,다이어트보조식품,글램디,45000,1
15,4604267,M,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1
16,1915490,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1
17,652746,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1
18,382566,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1
19,382566,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1
20,382566,F,40,579476,건강식품,영양제,종합영양제,비타민스토리,51800,1
21,272515,F,40,316,건강식품,영양제,종합영양제,비타민스토리,49900,1
22,4163349,F,50,440,과일,국산과일,기타국산과일류,초록마을,2300,7
23,4163349,F,50,139285,과일,국산과일,사과,친환경팔도,42900,1
24,4163349,F,50,749736,과일,국산과일,참외,초록마을,6900,1
25,4163349,F,50,754191,과일,국산과일,배,초록마을,6900,1
26,4163349,F,50,754194,과일,국산과일,방울토마토,초록마을,6500,1
27,6170791,F,50,440,과일,국산과일,기타국산과일류,초록마을,2300,5
28,6170791,F,50,305574,냉장식품,포장반찬,김치류,풀무원,49900,1
29,6170791,F,50,742545,과일,국산과일,참외,초록마을,6900,3
30,4298482,F,40,489,과일,국산과일,배,롯데식품관,46900,1
31,6202368,F,40,830,건강식품,영양제,유산균/프로바이오틱스,에스더포뮬러,39000,1
32,4902864,F,20,830,건강식품,영양제,유산균/프로바이오틱스,에스더포뮬러,39000,1
33,4129481,F,50,830,건강식품,영양제,유산균/프로바이오틱스,에스더포뮬러,39000,1
34,6201197,F,20,830,건강식품,영양제,유산균/프로바이오틱스,에스더포뮬러,39000,1
35,6201197,F,20,157231,건강식품,홍삼/인삼가공식품,홍삼근,브이에이피,44000,1
36,6201197,F,20,157231,건강식품,홍삼/인삼가공식품,홍삼근,브이에이피,44000,1
37,6201197,F,20,211535,건강식품,영양제,기타영양제,지앤씨,44800,1
38,6201197,F,20,211535,건강식품,영양제,기타영양제,지앤씨,44800,1
39,6468390,M,50,830,건강식품,영양제,유산균/프로바이오틱스,에스더포뮬러,39000,1
40,4200308,F,40,830,건강식품,영양제,유산균/프로바이오틱스,에스더포뮬러,39000,1
41,166615,F,30,916,과일,견과류,밤,롯데식품관,39600,1
42,4458784,F,40,918,과일,견과류,땅콩,그린너트,3000,1
43,4458784,F,40,918,과일,견과류,땅콩,그린너트,3000,1
44,4458784,F,40,10124,과일,견과류,기타견과류,그린너트,3800,1
45,1626216,M,40,918,과일,견과류,땅콩,그린너트,3000,1
46,3453039,F,40,918,과일,견과류,땅콩,그린너트,3000,3
47,3183397,F,40,918,과일,견과류,땅콩,그린너트,3000,1
48,3183397,F,40,925,과일,견과류,땅콩,그린너트,3900,1
49,2973972,F,40,918,과일,견과류,땅콩,그린너트,3000,1
50,2973972,F,40,833515,과일,견과류,호두,그린너트,6900,3
51,1264114,F,40,922,과일,견과류,땅콩,그린너트,5900,1
52,6015294,F,50,922,과일,견과류,땅콩,그린너트,5900,1
53,5115618,F,30,923,과일,견과류,땅콩,그린너트,6900,1
54,5115618,F,30,5906,과일,견과류,호두,산과들에,6900,2
55,5115618,F,30,242588,과일,견과류,기타견과류,넛츠팜,5900,1
56,5115618,F,30,242639,과일,견과류,기타견과류,넛츠팜,4900,1
57,5843043,M,40,923,과일,견과류,땅콩,그린너트,6900,1
58,2860104,F,50,923,과일,견과류,땅콩,그린너트,6900,1
59,2860104,F,50,7048,과일,견과류,땅콩,산과들에,3500,1
60,2860104,F,50,834300,과일,견과류,땅콩,산과들에,4200,1
61,2860104,F,50,838089,냉동식품,냉동간편식,기타냉동간편식,추억의 국민학교 떡볶이,4950,2
62,2860104,F,50,838090,냉동식품,냉동간편식,기타냉동간편식,추억의 국민학교 떡볶이,4950,2
63,5058880,M,40,925,과일,견과류,땅콩,그린너트,3900,1
64,5058880,M,40,838090,냉동식품,냉동간편식,기타냉동간편식,추억의 국민학교 떡볶이,4950,1
65,5058880,M,40,838090,냉동식품,냉동간편식,기타냉동간편식,추억의 국민학교 떡볶이,4950,1
66,3193829,M,40,925,과일,견과류,땅콩,그린너트,3900,1
67,4445493,F,40,925,과일,견과류,땅콩,그린너트,3900,2
68,1482759,F,50,925,과일,견과류,땅콩,그린너트,3900,1
69,1482759,F,50,833515,과일,견과류,호두,그린너트,6900,1
70,3710295,M,30,925,과일,견과류,땅콩,그린너트,3900,1
71,3710295,M,30,325723,건강식품,건강보조식품,다이어트보조식품,네이처드림,5900,1
72,3710295,M,30,816043,축산물,닭고기류,볶음탕용닭,마니커,4800,2
73,3710295,M,30,816043,축산물,닭고기류,볶음탕용닭,마니커,4800,3
74,3801882,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,10
75,3801882,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,14
76,3801882,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,8
77,3801882,F,30,842928,건강식품,영양제,일반비타민,솔가,43300,1
78,1985410,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6300,2
79,1985410,F,40,399214,냉동식품,냉동간편식,냉동국탕류,올가홀푸드,6300,2
80,4162068,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,1
81,4162068,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,1
82,1069308,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,2
83,1069308,F,40,9266,과일,견과류,호두,빨강호두,6500,2
84,1422321,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,2
85,1422321,F,40,674712,냉동식품,냉동간편식,냉동만두,성경순만두,4900,2
86,1422321,F,40,698673,건강식품,건강보조식품,다이어트보조식품,테일러,7000,2
87,797287,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,4800,2
88,5793502,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5850,1
89,5513808,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,2
90,5513808,F,40,810976,축산물,닭고기류,삼계탕용닭,하림,5900,2
91,3912631,F,50,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6900,2
92,3912631,F,50,353767,냉동식품,냉동간편식,기타냉동간편식,본죽,3600,2
93,3912631,F,50,742545,과일,국산과일,참외,초록마을,6500,1
94,3912631,F,50,749736,과일,국산과일,참외,초록마을,5900,1
95,6262111,F,50,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5850,6
96,1546678,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,4800,6
97,1546678,F,30,5051,과일,국산과일,토마토,초록마을,6900,1
98,1546678,F,30,754191,과일,국산과일,배,초록마을,5000,1
99,1546678,F,30,754192,과일,국산과일,사과,초록마을,5900,2
100,1546678,F,30,781758,과일,국산과일,방울토마토,초록마을,5000,1
101,5331560,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6900,1
102,4675171,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,2
103,192263,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,4800,5
104,5463460,M,60,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6900,5
105,5463460,M,60,108792,냉장식품,포장반찬,김치류,친정엄마,6900,2
106,2156621,M,60,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6900,2
107,2695695,F,40,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,2
108,2695695,F,40,605088,건강식품,영양제,일반비타민,고려은단,39400,1
109,753829,M,60,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6900,2
110,1870172,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,6900,1
111,1870172,F,30,755844,냉동식품,냉동간편식,냉동튀김,동원,2900,1
112,4665716,F,30,980,냉동식품,냉동간편식,냉동국탕류,초록마을,5350,1
113,273992,F,30,1012,건강식품,영양제,자연유래영양제,굿헬스,41600,1
114,273992,F,30,1012,건강식품,영양제,자연유래영양제,굿헬스,41600,1
115,273992,F,30,1012,건강식품,영양제,자연유래영양제,굿헬스,41600,1
116,273992,F,30,1012,건강식품,영양제,자연유래영양제,굿헬스,41600,1
117,273992,F,30,1012,건강식품,영양제,자연유래영양제,굿헬스,41600,1
118,273992,F,30,576129,건강식품,영양제,자연유래영양제,하이웰,49000,1
119,273992,F,30,576129,건강식품,영양제,자연유래영양제,하이웰,49000,1
120,273992,F,30,576129,건강식품,영양제,자연유래영양제,하이웰,49000,1
121,273992,F,30,576129,건강식품,영양제,자연유래영양제,하이웰,49000,1
122,273992,F,30,576129,건강식품,영양제,자연유래영양제,하이웰,49000,1
123,273992,F,30,576129,건강식품,영양제,자연유래영양제,하이웰,49000,1
124,5557287,F,30,1012,건강식품,영양제,자연유래영양제,굿헬스,41600,1
125,5557287,F,30,818066,건강식품,영양제,종합영양제,온푸드,52800,1
126,5782272,F,40,1018,건강식품,영양제,글루코사민,굿헬스,51900,2
127,6122634,F,40,1018,건강식품,영양제,글루코사민,굿헬스,51900,1
128,6488971,F,40,1043,건강식품,건강진액,채소즙,초록마을,42000,1
129,149977,F,40,1043,건강식품,건강진액,채소즙,초록마을,42000,2
130,149977,F,40,1043,건강식품,건강진액,채소즙,초록마을,42000,2
131,2495184,F,30,1043,건강식품,건강진액,채소즙,초록마을,42000,1
132,2495184,F,30,1043,건강식품,건강진액,채소즙,초록마을,42000,1
133,2495184,F,30,1043,건강식품,건강진액,채소즙,초록마을,42000,1
134,2495184,F,30,798594,건강식품,영양제,유산균/프로바이오틱스,종근당 건강,39900,1
135,3166608,F,30,1043,건강식품,건강진액,채소즙,초록마을,42000,1
136,568519,F,30,1043,건강식품,건강진액,채소즙,초록마을,42000,2
137,4742690,F,40,1043,건강식품,건강진액,채소즙,초록마을,42000,1
138,672444,F,30,1049,냉동식품,냉동간편식,냉동만두,초록마을,5000,1
139,672444,F,30,749664,과일,국산과일,사과,초록마을,50000,1
140,2170592,M,40,1049,냉동식품,냉동간편식,냉동만두,초록마을,5000,1
141,5213754,F,40,1049,냉동식품,냉동간편식,냉동만두,초록마을,5000,4
142,5213754,F,40,728091,건강식품,건강보조식품,다이어트보조식품,태광선식,5500,1
143,5213754,F,40,728091,건강식품,건강보조식품,다이어트보조식품,태광선식,5500,2
144,5213754,F,40,728091,건강식품,건강보조식품,다이어트보조식품,태광선식,3300,10
145,4054951,F,40,1049,냉동식품,냉동간편식,냉동만두,초록마을,5000,1
146,4054951,F,40,791144,냉장식품,포장반찬,김치류,씨제이제일제당,1100,1
147,947652,F,30,1049,냉동식품,냉동간편식,냉동만두,초록마을,5000,1
148,3943654,F,40,1342,건강식품,건강진액,채소즙,롯데식품관,49000,1
149,3943654,F,40,844330,건강식품,영양제,종합영양제,네이처스플러스,45000,1
150,5651871,F,40,1342,건강식품,건강진액,채소즙,롯데식품관,49000,1
151,5651871,F,40,1342,건강식품,건강진액,채소즙,롯데식품관,49000,1
152,5651871,F,40,675341,과일,견과류,혼합견과,그린너트,39900,1
153,5651871,F,40,830177,건강식품,건강진액,채소즙,올즙,47900,1
154,5651871,F,40,830177,건강식품,건강진액,채소즙,올즙,47900,1
155,3350826,F,40,1342,건강식품,건강진액,채소즙,롯데식품관,49000,1
156,2069074,F,40,1342,건강식품,건강진액,채소즙,롯데식품관,49000,1
157,2366211,M,40,1380,냉동식품,냉동간편식,냉동피자,씨제이제일제당,1960,1
158,2366211,M,40,1380,냉동식품,냉동간편식,냉동피자,씨제이제일제당,1960,1
159,2366211,M,40,14813,냉동식품,냉동간편식,기타냉동간편식,풀무원,2400,1
160,2366211,M,40,14813,냉동식품,냉동간편식,기타냉동간편식,풀무원,2400,1
161,2366211,M,40,390894,건강식품,건강진액,과일즙,신선한아침,270,4
162,2366211,M,40,486357,축산물,닭고기류,닭가슴살,꼬꼬빌,1700,1
163,2366211,M,40,499574,냉장식품,포장반찬,김치류,씨제이프레시웨이,3500,1
164,2366211,M,40,535286,냉동식품,냉동간편식,기타냉동간편식,마이닭,1250,1
165,2366211,M,40,585005,축산물,닭고기류,닭가슴살,아침,1900,1
166,2366211,M,40,585005,축산물,닭고기류,닭가슴살,아침,1900,1
167,2366211,M,40,585005,축산물,닭고기류,닭가슴살,아침,1900,1
168,2366211,M,40,616203,냉동식품,냉동간편식,냉동밥,천일냉동,1800,1
169,2366211,M,40,688240,냉동식품,냉동간편식,냉동만두,씨제이제일제당,1500,1
170,2366211,M,40,688240,냉동식품,냉동간편식,냉동만두,씨제이제일제당,1500,1
171,2366211,M,40,688240,냉동식품,냉동간편식,냉동만두,씨제이제일제당,1500,1
172,2366211,M,40,691058,축산물,닭고기류,삼계탕용닭,롯데식품관,3900,1
